date,Korea,Korea_s
29/12/2021,50290,50290
30/12/2021,48710,48710
31/12/2021,44150,44150
01/01/2022,38300,38300
02/01/2022,31240,31240
03/01/2022,30190,30190
04/01/2022,44430,44430
05/01/2022,41230,41230
06/01/2022,37160,37160
07/01/2022,35070,35070
08/01/2022,33760,33760
09/01/2022,29990,29990
10/01/2022,30930,30930
11/01/2022,43850,43850
12/01/2022,41620,41620
13/01/2022,45360,45360
14/01/2022,44180,44180
15/01/2022,41900,41900
16/01/2022,38580,38580
17/01/2022,40700,40700
18/01/2022,58000,58000
19/01/2022,66010,66010
20/01/2022,67660,67660
21/01/2022,70050,70050
22/01/2022,76280,76280
23/01/2022,75110,75110
24/01/2022,85660,85660
25/01/2022,130040,130040
26/01/2022,145140,145140
27/01/2022,160850,160850
28/01/2022,175400,175400
29/01/2022,175150,175150
30/01/2022,170720,170720
31/01/2022,183330,183330
01/02/2022,202680,202680
02/02/2022,229040,229040
03/02/2022,274420,274420
04/02/2022,363620,363620
05/02/2022,386700,386700
06/02/2022,,352750
07/02/2022,,367180
08/02/2022,495580,495580
09/02/2022,541220,541220
10/02/2022,539260,539260
11/02/2022,549180,549180
12/02/2022,564250,564250
13/02/2022,,546160
14/02/2022,,571750
15/02/2022,904300,904300
16/02/2022,,931270
17/02/2022,,1098280
18/02/2022,1022030,1022030
19/02/2022,1048280,1048280
20/02/2022,,953470
21/02/2022,,995500
22/02/2022,,1714480
23/02/2022,,1700060
24/02/2022,1658890,1658890
25/02/2022,1662060,1662060
26/02/2022,1635580,1635580
27/02/2022,,1396150
28/02/2022,0,1389930
01/03/2022,2192370,2192370
02/03/2022,1988020,1988020
03/03/2022,2668380,2668380
04/03/2022,2543260,2543260
05/03/2022,2436120,2436120
06/03/2022,,2107130
07/03/2022,,2027140
08/03/2022,3424270,3424270
09/03/2022,3275320,3275320
10/03/2022,,2829760
11/03/2022,3836510,3836510
12/03/2022,3501760,3501760
13/03/2022,,3097690
14/03/2022,3623280,3623280
15/03/2022,4007250,4007250
16/03/2022,,6213170
17/03/2022,4070170,4070170
18/03/2022,3813290,3813290
19/03/2022,,3347080
20/03/2022,,2091690
21/03/2022,3537250,3537250
22/03/2022,,4907070
23/03/2022,3955890,3955890
24/03/2022,3393960,3393960
25/03/2022,3354790,3354790
26/03/2022,3181300,3181300
27/03/2022,,1872130
28/03/2022,,3473740
29/03/2022,,4245280
30/03/2022,3206750,3206750
31/03/2022,2801870,2801870
01/04/2022,2640970,2640970
02/04/2022,2343010,2343010
03/04/2022,,1271900
04/04/2022,,2659950
05/04/2022,,2862430
06/04/2022,2247610,2247610
07/04/2022,2052890,2052890
08/04/2022,1854950,1854950
09/04/2022,1644810,1644810
10/04/2022,,909280
11/04/2022,,2106760
12/04/2022,,1953700
13/04/2022,1484170,1484170
14/04/2022,1258080,1258080
