date;Brazil;Brazil
17/11/2021;6.16745E-05;13112
18/11/2021;5.36312E-05;11402
19/11/2021;5.81985E-05;12373
20/11/2021;3.86406E-05;8215
21/11/2021;2.39323E-05;5088
22/11/2021;1.94779E-05;4141
23/11/2021;5.85136E-05;12440
24/11/2021;5.76388E-05;12254
25/11/2021;5.77752E-05;12283
26/11/2021;5.11712E-05;10879
27/11/2021;3.90828E-05;8309
28/11/2021;1.66322E-05;3536
29/11/2021;2.11148E-05;4489
30/11/2021;4.83772E-05;10285
01/12/2021;5.77705E-05;12282
02/12/2021;5.61195E-05;11931
03/12/2021;4.99624E-05;10622
04/12/2021;3.48401E-05;7407
05/12/2021;2.20743E-05;4693
06/12/2021;2.8302E-05;6017
07/12/2021;4.76764E-05;10136
08/12/2021;4.76576E-05;10132
09/12/2021;4.11712E-05;8753
10/12/2021;3.32314E-05;7065
11/12/2021;1.26246E-05;2684
12/12/2021;7.59643E-06;1615
13/12/2021;1.30292E-05;2770
14/12/2021;2.05974E-05;4379
15/12/2021;2.38852E-05;5078
16/12/2021;1.72201E-05;3661
17/12/2021;2.05221E-05;4363
18/12/2021;1.11994E-05;2381
19/12/2021;6.85795E-06;1458
20/12/2021;1.2413E-05;2639
21/12/2021;1.75635E-05;3734
22/12/2021;1.5174E-05;3226
23/12/2021;1.77516E-05;3774
24/12/2021;1.73095E-05;3680
25/12/2021;1.72813E-05;3674
26/12/2021;2.33725E-05;4969
27/12/2021;3.26999E-05;6952
28/12/2021;4.25776E-05;9052
29/12/2021;4.59125E-05;9761
30/12/2021;5.93509E-05;12618
31/12/2021;4.79304E-05;10190
01/01/2022;1.77893E-05;3782
02/01/2022;8.49483E-06;1806
03/01/2022;5.48166E-05;11654
04/01/2022;9.0174E-05;19171
05/01/2022;0.000107488;22852
06/01/2022;0.000168514;35826
07/01/2022;0.000297705;63292
08/01/2022;0.000231905;49303
09/01/2022;0.000139501;29658
10/01/2022;0.000159553;33921
11/01/2022;0.000344567;73255
12/01/2022;0.000413325;87873
13/01/2022;0.000460701;97945
14/01/2022;0.000522634;111112
15/01/2022;0.00022842;48562
16/01/2022;0.000156524;33277
17/01/2022;0.000349864;74381
18/01/2022;0.000660122;140342
19/01/2022;0.00091976;195541
20/01/2022;0.000798617;169786
21/01/2022;0.000805837;171321
22/01/2022;0.000776623;165110
23/01/2022;0.000577592;122796
24/01/2022;0.000412168;87627
25/01/2022;0.000942098;200290
26/01/2022;0.001024323;217771
27/01/2022;0.001080442;229702
28/01/2022;0.001226745;260806
29/01/2022;0.00096706;205597
30/01/2022;0.000491294;104449
31/01/2022;0.000483928;102883
01/02/2022;0.000805508;171251
02/02/2022;0.000874713;185964
03/02/2022;0.001350654;287149
04/02/2022;0.001028034;218560
05/02/2022;0.000743612;158092
06/02/2022;0.000290936;61853
07/02/2022;0.000327446;69615
08/02/2022;0.000834821;177483
09/02/2022;0.000843918;179417
10/02/2022;0.000764986;162636
11/02/2022;0.000770395;163786
12/02/2022;0.00063476;134950
13/02/2022;0.00027572;58618
14/02/2022;0.000279224;59363
15/02/2022;0.000588904;125201
16/02/2022;0.000670405;142528
17/02/2022;0.000565019;120123
18/02/2022;0.000621444;132119
19/02/2022;0.000494492;105129
20/02/2022;0.000191971;40813
21/02/2022;0.000189454;40278
22/02/2022;0.000486797;103493
23/02/2022;0.000617992;131385
24/02/2022;0.000451077;95899
25/02/2022;0.000425381;90436
26/02/2022;0.000328697;69881
27/02/2022;0.000128137;27242
28/02/2022;9.30245E-05;19777
01/03/2022;0.000104793;22279
02/03/2022;0.000130033;27645
03/03/2022;0.000283053;60177
04/03/2022;0.000335748;71380
